materia;assunto;tipo;banca;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta
GEOGRAFIA;Cidades Globais;Múltipla Escolha;VUNESP;Cidades globais são caracterizadas por:;Concentrarem a maior parte da população mundial.;Serem apenas centros políticos e administrativos.;Exercerem influência em escala global, especialmente em finanças e serviços.;Não possuírem conexão com o mercado internacional.;Terem população homogênea.;C
PORTUGUÊS;Pronome Relativo;Múltipla Escolha;FGV;Assinale a alternativa em que o pronome relativo foi empregado corretamente.;O livro que li sobre ele é ótimo.;O problema de que precisamos é solução.;A pessoa quem me refiro é você.;O documento cujo teor discordo é falso.;A cidade a onde fui é linda.;D
DIREITO ADMINISTRATIVO;Improbidade Administrativa;Certo/Errado;CESPE;A lei de improbidade administrativa prevê a suspensão dos direitos políticos do agente público que praticar ato ímprobo.;Certo;Errado;;;;Certo
INFORMÁTICA;Comércio Eletrônico;Múltipla Escolha;ENEM;O que significa a sigla B2B no contexto do e-commerce?;Business to Consumer (Empresa para Consumidor).;Business to Business (Empresa para Empresa).;Better to Buy (Melhor Comprar).;Buyer to Business (Comprador para Empresa).;Big to Business (Grande para Negócios).;B
MATEMÁTICA;Análise Gráfica;Múltipla Escolha;ENEM;Um gráfico de barras é mais adequado para representar:;A evolução de um valor ao longo do tempo.;A proporção de cada parte em relação ao todo.;A distribuição de frequência de dados contínuos.;A comparação entre diferentes categorias de dados discretos.;A relação entre duas variáveis.;D
HISTÓRIA;Período Joanino;Múltipla Escolha;FGV;A vinda da Família Real Portuguesa para o Brasil em 1808 resultou na:;Fechamento dos portos brasileiros ao comércio internacional.;Elevação do Brasil à categoria de Reino Unido.;Proclamação imediata da Independência.;Transferência da capital para o Rio de Janeiro.;Criação do Banco do Brasil.;B
GEOGRAFIA;Fuso Horário (Cálculo);Múltipla Escolha;VUNESP;Um avião decola de um local no fuso 0h às 14h e viaja 6 horas para um local no fuso -4h. Que horas serão no destino quando ele chegar?;20h;16h;18h;24h;14h;B
PORTUGUÊS;Interpretação (Sarcasmo);Múltipla Escolha;VUNESP;Ao dizer "Parabéns pela pontualidade!" a um colega que chegou 2 horas atrasado, o falante utiliza:;Eufemismo.;Hipérbole.;Sarcasmo.;Pleonasmo.;Alegoria.;C
DIREITO CONSTITUCIONAL;Direito Tributário;Certo/Errado;CESPE;É vedado à União instituir impostos que não sejam uniformes em todo o território nacional, ressalvada a concessão de incentivos fiscais regionais.;Certo;Errado;;;;Errado
INFORMÁTICA;Conceitos de Rede;Múltipla Escolha;FGV;Em uma rede de computadores, um "gateway" é o dispositivo que:;Controla o fluxo de dados em um segmento local.;Conecta redes que utilizam protocolos diferentes.;Filtra o tráfego de dados (Firewall).;Distribui endereços IP (DHCP).;Armazena dados em cache.;B
MATEMÁTICA;Área do Triângulo;Múltipla Escolha;VUNESP;Qual a área de um triângulo com base 10 cm e altura 8 cm?;80 cm²;40 cm²;18 cm²;20 cm²;50 cm²;B
HISTÓRIA;Renascimento;Múltipla Escolha;ENEM;O movimento cultural e artístico Renascimento (séculos XIV-XVI) teve como uma de suas principais características o:;Teocentrismo.;Antropocentrismo e o Humanismo.;Feudalismo.;Absolutismo monárquico.;Cientificismo.;B
GEOGRAFIA;População;Múltipla Escolha;FGV;O envelhecimento populacional no Brasil é um processo resultante da queda da taxa de natalidade e do(a):;Aumento da taxa de mortalidade.;Aumento da expectativa de vida.;Aumento da emigração.;Diminuição do IDH.;Aumento do êxodo rural.;B
PORTUGUÊS;Colocação Pronominal (Interrogativas);Múltipla Escolha;FGV;Em frases interrogativas diretas, qual é a colocação pronominal preferencial?;Próclise.;Ênclise.;Mesóclise.;Tanto próclise quanto ênclise.;Não se usa pronome oblíquo.;A
DIREITO ADMINISTRATIVO;Poder Disciplinar;Certo/Errado;CESPE;O poder disciplinar da Administração Pública permite a aplicação de penalidades aos servidores públicos, após o devido processo legal.;Certo;Errado;;;;Certo
INFORMÁTICA;Sistemas de Numeração;Múltipla Escolha;VUNESP;O número 1011 (base 2) é equivalente a qual número na base decimal?;10;11;13;15;22;B
MATEMÁTICA;Equações Algébricas;Múltipla Escolha;ENEM;O valor de x na equação $3(x-1) + 2x = 12$ é:;3;5;6;7;8;B
HISTÓRIA;Revolução Cubana;Múltipla Escolha;FGV;Qual líder político foi o principal nome da Revolução Cubana que depôs Fulgencio Batista em 1959?;Che Guevara.;Fidel Castro.;Raúl Castro.;Camilo Cienfuegos.;Anastasio Somoza.;B
GEOGRAFIA;Agricultura;Múltipla Escolha;ENEM;A agricultura de jardinagem, típica de países asiáticos, caracteriza-se pelo uso intenso de:;Grandes extensões de terra (latifúndio).;Mão de obra e técnicas tradicionais, com alta produtividade por área.;Mecanização em larga escala.;Defensivos agrícolas.;Monocultura.;B
PORTUGUÊS;Coesão Textual;Múltipla Escolha;VUNESP;No trecho "O problema era grave; contudo, a solução foi rápida.", o termo sublinhado estabelece uma relação de:;Adição.;Oposição.;Conclusão.;Explicação.;Alternância.;B
DIREITO CONSTITUCIONAL;Direito de Petição;Certo/Errado;CESPE;É assegurado a todos, independentemente do pagamento de taxas, o direito de petição aos Poderes Públicos em defesa de direitos ou contra ilegalidade ou abuso de poder.;Certo;Errado;;;;Certo
INFORMÁTICA;Programação Orientada a Objetos;Múltipla Escolha;ENEM;Em Programação Orientada a Objetos, o conceito de "Encapsulamento" refere-se à:;Criação de classes e objetos.;Herança de métodos e atributos.;Ocultação de detalhes de implementação e proteção de dados.;Reutilização de código.;Implementação de polimorfismo.;C
MATEMÁTICA;Função Afim (Interpretação);Múltipla Escolha;ENEM;O custo mensal de um plano de celular é dado pela função $C(t) = 30 + 0,50t$, onde $t$ é o tempo de ligação em minutos. O valor fixo de R$ 30,00 representa:;O custo total do plano.;O custo por minuto de ligação.;O custo para zero minutos de ligação (mensalidade).;O tempo máximo de ligação.;O custo de ativação da linha.;C
HISTÓRIA;Colonização Portuguesa;Múltipla Escolha;VUNESP;As Capitanias Hereditárias foram criadas com o objetivo principal de:;Garantir o monopólio do pau-brasil.;Promover a descentralização administrativa e a defesa do território.;Incentivar o ciclo do ouro.;Afastar a Inquisição do Brasil.;Financiar a expansão marítima.;B
GEOGRAFIA;Meio Ambiente (Camada de Ozônio);Múltipla Escolha;CESPE;O gás responsável pela destruição da camada de ozônio, que levou à assinatura do Protocolo de Montreal, é o:;Gás carbônico ($CO_2$);Metano ($CH_4$);Clorofluorcarboneto (CFC);Óxido nitroso ($N_2O$);Vapor d'água.;C
PORTUGUÊS;Figuras de Linguagem (Eufemismo);Múltipla Escolha;VUNESP;A expressão "partiu desta para uma melhor" é um exemplo de:;Pleonasmo.;Metáfora.;Hipérbole.;Eufemismo.;Antítese.;D
DIREITO ADMINISTRATIVO;Desapropriação;Certo/Errado;CESPE;A desapropriação é a forma de intervenção do Estado na propriedade privada que implica a perda da propriedade para o Poder Público, mediante indenização.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Firewall);Múltipla Escolha;FGV;Um Firewall atua primariamente na proteção de uma rede ao:;Criptografar todos os dados transmitidos.;Monitorar e filtrar o tráfego de rede, baseado em regras.;Detectar e remover vírus e malwares.;Garantir o anonimato do usuário.;Fazer cópias de segurança (backup).;B
MATEMÁTICA;Análise Combinatória (Permutação);Múltipla Escolha;FGV;De quantas maneiras diferentes 5 pessoas podem se sentar em 5 cadeiras enfileiradas?;5;10;25;120;60;D
HISTÓRIA;Descobrimento da América;Múltipla Escolha;ENEM;A chegada de Cristóvão Colombo à América, em 1492, é um marco da História que inaugura o período conhecido como:;Idade Antiga.;Idade Média.;Idade Moderna.;Idade Contemporânea.;Pré-História.;C
GEOGRAFIA;Conflitos Internacionais;Múltipla Escolha;VUNESP;O conflito árabe-israelense tem suas raízes na disputa territorial e histórica por qual região do Oriente Médio?;Faixa de Gaza e Cisjordânia.;Península Arábica.;Vale do Rio Nilo.;Golfo Pérsico.;Montanhas do Atlas.;A
PORTUGUÊS;Verbos;Múltipla Escolha;FGV;Assinale a forma verbal correta na 3ª pessoa do singular no Presente do Indicativo.;Intervir;Intervem;Interviu;Intervirá;Interveio;B
DIREITO CONSTITUCIONAL;Mandado de Segurança;Certo/Errado;CESPE;O Mandado de Segurança Individual será concedido para proteger direito líquido e certo, não amparado por Habeas Corpus ou Habeas Data, sempre que o responsável pela ilegalidade ou abuso de poder for autoridade pública ou agente de pessoa jurídica no exercício de atribuições do Poder Público.;Certo;Errado;;;;Certo
INFORMÁTICA;Protocolos de E-mail;Múltipla Escolha;VUNESP;Qual protocolo é primariamente utilizado para o envio de e-mails entre servidores?;POP3;IMAP;HTTP;SMTP;FTP;D
MATEMÁTICA;Porcentagem (Acréscimo);Múltipla Escolha;ENEM;Um produto que custa R$ 50,00 teve um aumento de 20%. Qual o novo preço?;R$ 55,00;R$ 60,00;R$ 70,00;R$ 40,00;R$ 65,00;B
HISTÓRIA;Revolução Neolítica;Múltipla Escolha;ENEM;A Revolução Neolítica (ou Agrícola) foi marcada pela:;Descoberta do fogo.;Invenção da escrita.;Domesticação de animais e desenvolvimento da agricultura.;Criação das primeiras cidades.;Uso de metais.;C
GEOGRAFIA;Indústria (Tipos);Múltipla Escolha;FGV;Indústrias que produzem bens de consumo não duráveis (como alimentos e vestuário) pertencem a qual categoria industrial?;Indústria de base.;Indústria extrativa.;Indústria de bens intermediários.;Indústria de transformação (bens de consumo).;Indústria de alta tecnologia.;D
PORTUGUÊS;Conjunções;Múltipla Escolha;VUNESP;Na frase "Não estudou, portanto, foi reprovado", a conjunção sublinhada expressa a ideia de:;Adição.;Alternância.;Conclusão.;Explicação.;Condição.;C
DIREITO ADMINISTRATIVO;Poder Hierárquico;Certo/Errado;CESPE;O poder hierárquico confere ao superior a faculdade de avocar e delegar atribuições, mas não a de rever os atos do subordinado.;Certo;Errado;;;;Errado
INFORMÁTICA;Internet (Endereçamento);Múltipla Escolha;VUNESP;A principal diferença entre IPv4 e IPv6 é que o IPv6 utiliza endereços com quantos bits a mais?;32 bits a mais.;64 bits a mais.;96 bits a mais.;128 bits a mais.;256 bits a mais.;C
MATEMÁTICA;Sequências;Múltipla Escolha;ENEM;O próximo termo da sequência 2, 5, 10, 17, ... é:;24;26;28;30;32;B
HISTÓRIA;Escravidão no Brasil;Múltipla Escolha;FGV;A Lei Eusébio de Queirós (1850) tinha como objetivo:;Garantir direitos aos ex-escravos.;Proibir o tráfico negreiro transatlântico.;Declarar a extinção gradual da escravidão.;Permitir a compra de terras por ex-escravos.;Abolir o trabalho infantil.;B
GEOGRAFIA;Biomas (Mata Atlântica);Múltipla Escolha;VUNESP;O bioma Mata Atlântica, um dos mais devastados do mundo, é conhecido por sua elevada:;Baixa pluviosidade.;Homogeneidade vegetal.;Biodiversidade e endemismo.;Aridez do solo.;Grande altitude.;C
PORTUGUÊS;Análise Sintática (Predicativo);Múltipla Escolha;FGV;O termo sublinhado em "O júri considerou o réu culpado" é classificado como:;Objeto direto.;Predicativo do sujeito.;Predicativo do objeto.;Complemento nominal.;Adjunto adnominal.;C
DIREITO CONSTITUCIONAL;Ações Constitucionais;Certo/Errado;CESPE;O Habeas Data é o remédio constitucional cabível para proteger o direito de acesso a informações relativas à pessoa do impetrante, constantes de registros ou bancos de dados de entidades governamentais ou de caráter público.;Certo;Errado;;;;Certo
INFORMÁTICA;Nuvem (Conceitos);Múltipla Escolha;ENEM;Qual o principal benefício do uso da computação em nuvem (Cloud Computing) para empresas?;Redução da latência de rede.;Eliminação total de ataques cibernéticos.;Flexibilidade e escalabilidade no uso de recursos de TI.;Aumento do poder de processamento local.;Gratuidade de todos os serviços de software.;C
MATEMÁTICA;Função Exponencial;Múltipla Escolha;VUNESP;Em uma cultura de bactérias, a população P(t) em função do tempo t (em horas) é dada por $P(t) = 100 \cdot 2^t$. Qual será a população após 3 horas?;300;400;800;1000;1200;C
HISTÓRIA;Idade Contemporânea;Múltipla Escolha;VUNESP;O evento que é considerado o marco inicial da Idade Contemporânea é:;A Proclamação da República no Brasil.;A queda do Muro de Berlim.;A Revolução Francesa.;O fim da Segunda Guerra Mundial.;A Guerra Fria.;C
GEOGRAFIA;Recursos Minerais;Múltipla Escolha;FGV;A exploração do minério de ferro no Brasil está majoritariamente concentrada em qual região e complexo geomorfológico?;Planalto da Borborema.;Serra do Mar.;Quadrilátero Ferrífero (MG).;Pampa Gaúcho.;Planície do Pantanal.;C
PORTUGUÊS;Semântica (Sinonímia);Múltipla Escolha;ENEM;Qual palavra poderia substituir "inexorável" sem alterar o sentido na frase "O destino era inexorável"?;Flexível;Adaptável;Implacável;Dúbio;Temporário;C
DIREITO ADMINISTRATIVO;Improbidade Administrativa (Atos);Certo/Errado;CESPE;Constitui ato de improbidade administrativa que atenta contra os princípios da administração pública qualquer ação ou omissão que viole os deveres de honestidade, imparcialidade, legalidade e lealdade às instituições.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Topologias);Múltipla Escolha;FGV;Em qual topologia de rede todos os dispositivos estão conectados a um ponto central (Hub ou Switch)?;Anel (Ring).;Barra (Bus).;Estrela (Star).;Malha (Mesh).;Árvore (Tree).;C
MATEMÁTICA;Expressões Algébricas;Múltipla Escolha;VUNESP;O resultado de $(a + b)^2 - a^2 - b^2$ é:;2ab;0;a² + b²;ab;2a²b²;A
HISTÓRIA;Nazismo e Fascismo;Múltipla Escolha;FGV;Os regimes totalitários do Nazismo e Fascismo, na Europa do século XX, compartilhavam a característica de:;Defesa do liberalismo econômico.;Crença na igualdade racial.;Culto ao líder e militarismo.;Apoio à democracia.;Descentralização do poder.;C
GEOGRAFIA;Cadeias Produtivas (Primário);Múltipla Escolha;ENEM;A produção de commodities (como soja, carne bovina e minério de ferro) insere-se majoritariamente no setor:;Secundário.;Terciário.;Quaternário.;Primário.;Quinário.;D
PORTUGUÊS;Vozes Verbais (Sintética);Múltipla Escolha;VUNESP;A frase "Aluga-se apartamento" está na voz:;Ativa.;Passiva analítica.;Passiva sintética.;Reflexiva.;Recíproca.;C
DIREITO CONSTITUCIONAL;Remédios Constitucionais;Certo/Errado;CESPE;O Habeas Corpus é cabível sempre que alguém sofrer ou se achar ameaçado de sofrer violência ou coação em sua liberdade de locomoção, por ilegalidade ou abuso de poder.;Certo;Errado;;;;Certo
INFORMÁTICA;Internet (Web);Múltipla Escolha;ENEM;O que significa a sigla URL?;Universal Resource Link.;Uniform Resource Locator.;Unidade de Rede Local.;Universal Remote Link.;Unidade de Resposta Lógica.;B
MATEMÁTICA;Produtos Notáveis;Múltipla Escolha;VUNESP;O produto $(x - 5)(x + 5)$ é igual a:;x² - 10x + 25;x² + 25;x² - 25;x² - 10;x² + 10x - 25;C
HISTÓRIA;Revolução Gloriosa;Múltipla Escolha;FGV;A Revolução Gloriosa (1688) na Inglaterra estabeleceu a:;Monarquia absolutista.;República militar.;Monarquia parlamentar.;Ditadura proletária.;Teocracia.;C
GEOGRAFIA;Climas (Massas de Ar);Múltipla Escolha;VUNESP;A massa de ar que atua no Brasil, trazendo frio e chuvas para a região Sul e friagem para a Amazônia no inverno, é a:;Massa Equatorial Continental (mEc).;Massa Tropical Atlântica (mTa).;Massa Polar Atlântica (mPa).;Massa Equatorial Atlântica (mEa).;Massa Tropical Continental (mTc).;C
PORTUGUÊS;Oração Sem Sujeito;Múltipla Escolha;FGV;Assinale a alternativa que contém uma oração sem sujeito.;O aluno faltou à aula.;Choveram pétalas no desfile.;Faz anos que não o vejo.;Comeram o bolo todo.;Precisa-se de funcionários.;C
DIREITO ADMINISTRATIVO;Impedimento e Suspeição;Certo/Errado;CESPE;O impedimento e a suspeição são causas que afastam o agente público de atuar em processo administrativo, em razão de seu interesse na matéria ou de sua relação com os envolvidos.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Vírus);Múltipla Escolha;VUNESP;Um arquivo que se anexa a outros programas, exigindo que o usuário o execute para que se propague, é um:;Worm.;Trojan.;Vírus.;Rootkit.;Spyware.;C
MATEMÁTICA;Triângulo Retângulo (Teorema de Pitágoras);Múltipla Escolha;ENEM;Em um triângulo retângulo, os catetos medem 3 cm e 4 cm. Qual a medida da hipotenusa?;5 cm;6 cm;7 cm;9 cm;12 cm;A
HISTÓRIA;Descobrimento (Visão Indígena);Múltipla Escolha;ENEM;A chegada dos europeus ao Brasil, na visão dos povos indígenas, é frequentemente interpretada como um evento de:;Intercâmbio cultural pacífico.;Invasão e início de um processo de dominação.;Aliança militar contra inimigos.;Oportunidade de comércio.;Missão religiosa.;B
GEOGRAFIA;Recursos Minerais (Tipos);Múltipla Escolha;ENEM;O carvão mineral, o petróleo e o gás natural são classificados como recursos minerais:;Renováveis e metálicos.;Não renováveis e energéticos.;Metálicos e não energéticos.;Renováveis e não metálicos.;Não renováveis e não metálicos.;B
PORTUGUÊS;Regência Nominal;Múltipla Escolha;FGV;Assinale a frase em que a regência nominal está correta.;Tenho medo de altura.;Tenho medo a altura.;Tenho medo para altura.;Tenho medo na altura.;Tenho medo com a altura.;A
DIREITO CONSTITUCIONAL;Direitos Sociais;Certo/Errado;CESPE;O direito à moradia é considerado um direito social, nos termos da Constituição Federal de 1988.;Certo;Errado;;;;Certo
INFORMÁTICA;Planilhas (Funções);Múltipla Escolha;VUNESP;Qual função do Excel/Calc é usada para encontrar o maior valor em um intervalo de células?;MÉDIA;MÍNIMO;SOMA;MÁXIMO;CONT.VALORES;D
MATEMÁTICA;Equação do 1º Grau (Problema);Múltipla Escolha;FGV;O dobro de um número somado a 5 é igual a 17. Qual é esse número?;5;6;7;8;10;B
HISTÓRIA;Revolução Industrial (Consequências);Múltipla Escolha;VUNESP;Uma das principais consequências sociais da Revolução Industrial foi a:;Fortalecimento do sistema feudal.;Melhoria imediata das condições de vida da classe trabalhadora.;Aumento do êxodo rural e a formação da classe operária.;Diminuição da produção em larga escala.;Redução do uso de carvão.;C
GEOGRAFIA;Transportes;Múltipla Escolha;FGV;O modal de transporte mais utilizado no Brasil para escoamento da produção agrícola é o:;Ferroviário.;Marítimo.;Rodoviário.;Aéreo.;Hidroviário.;C
PORTUGUÊS;Período Composto (Coordenação);Múltipla Escolha;VUNESP;A conjunção destacada em "Estudou muito, e foi aprovado" é classificada como coordenada:;Aditiva.;Alternativa.;Adversativa.;Conclusiva.;Explicativa.;A
DIREITO ADMINISTRATIVO;Finalidade;Certo/Errado;CESPE;O princípio da finalidade exige que o ato administrativo seja praticado visando sempre ao interesse público.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Endereço MAC);Múltipla Escolha;CESPE;O endereço MAC (Media Access Control) é um identificador físico e único atribuído a cada placa de rede (NIC).;Certo;Errado;;;;Certo
MATEMÁTICA;Juros Simples;Múltipla Escolha;VUNESP;Qual o montante de um capital de R$ 1.000,00 aplicado a juros simples de 2% ao mês por 5 meses?;R$ 1.100,00;R$ 1.020,00;R$ 1.050,00;R$ 1.200,00;R$ 1.150,00;A
HISTÓRIA;Ditadura Militar (Economia);Múltipla Escolha;ENEM;O período conhecido como "Milagre Econômico" (1968-1973), durante a Ditadura Militar, foi marcado por:;Alto crescimento do PIB e distribuição de renda.;Estagnação econômica e inflação alta.;Alto crescimento do PIB e concentração de renda.;Fim da dívida externa.;Privatização de estatais.;C
GEOGRAFIA;Crescimento Urbano;Múltipla Escolha;ENEM;A conurbação é um fenômeno urbano que ocorre quando:;Duas ou mais cidades crescem e se unem fisicamente.;A população de uma cidade diminui.;A cidade se torna uma metrópole.;Há um grande aumento de favelas.;A indústria se afasta do centro urbano.;A
PORTUGUÊS;Análise Sintática (Objeto Indireto);Múltipla Escolha;FGV;Na frase "O governo necessita de investimentos", o termo sublinhado é:;Objeto direto.;Objeto indireto.;Complemento nominal.;Adjunto adverbial.;Aposto.;B
DIREITO CONSTITUCIONAL;Liberdade de Expressão;Certo/Errado;CESPE;A liberdade de expressão, embora garantida constitucionalmente, não admite o anonimato.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Engenharia Social);Múltipla Escolha;ENEM;A "Engenharia Social" em segurança da informação é:;Um método de criptografia avançado.;A manipulação psicológica de pessoas para que revelem informações confidenciais.;O uso de vírus para atacar sistemas.;A instalação de softwares espiões.;A análise forense de redes.;B
MATEMÁTICA;Fração;Múltipla Escolha;VUNESP;Qual o resultado da soma de frações $1/2 + 1/3$?;1/5;2/5;5/6;3/5;1;C
HISTÓRIA;Revolução Francesa (Fases);Múltipla Escolha;VUNESP;A fase mais radical da Revolução Francesa, marcada pelo governo jacobino e a atuação do Comitê de Salvação Pública, é conhecida como:;Diretório.;Assembleia Nacional Constituinte.;Período Napoleônico.;Período do Terror.;Restauração.;D
GEOGRAFIA;Geopolítica;Múltipla Escolha;FGV;A Doutrina Monroe (América para os americanos) foi uma política externa adotada por qual país no século XIX?;Inglaterra.;França.;Alemanha.;Estados Unidos.;Rússia.;D
PORTUGUÊS;Ortografia (Homônimos);Múltipla Escolha;FGV;Assinale a frase em que o emprego de "mas" e "mais" está correto.;Ele é mais inteligente, mas não estuda.;Ele é mas inteligente, mais não estuda.;Ele é mais inteligente, mais estuda.;Ele é mas inteligente, mas estuda.;Ele é mais inteligente, mas ele estuda.;A
DIREITO ADMINISTRATIVO;Princípio da Eficiência;Certo/Errado;CESPE;O princípio da eficiência exige que a Administração Pública atue com presteza, perfeição e rendimento funcional.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Tipos);Múltipla Escolha;VUNESP;Um software que atua como tradutor do código de alto nível para código de máquina, executando a tradução linha por linha, é um:;Compilador.;Sistema Operacional.;Interpretador.;Linker.;Assembly.;C
MATEMÁTICA;Equação do 2º Grau (Soma e Produto);Múltipla Escolha;FGV;As raízes de uma equação do 2º grau são 2 e 5. Qual é a soma dessas raízes?;10;7;3;-3;-7;B
HISTÓRIA;Guerra Fria (Crise);Múltipla Escolha;ENEM;A Crise dos Mísseis em Cuba, em 1962, levou o mundo ao ponto mais próximo de uma guerra nuclear, envolvendo diretamente:;EUA e China.;EUA e URSS.;URSS e Cuba.;EUA e Coreia do Norte.;URSS e Alemanha.;B
GEOGRAFIA;População (IDH);Múltipla Escolha;VUNESP;O Índice de Desenvolvimento Humano (IDH) é calculado a partir de quais três dimensões principais?;Renda, tecnologia e saúde.;Educação, saúde e longevidade (expectativa de vida) e renda.;Educação, infraestrutura e segurança.;PIB, Gini e População.;Taxa de natalidade, taxa de mortalidade e PIB.;B
PORTUGUÊS;Interpretação (Implícito);Múltipla Escolha;ENEM;Se um texto afirma que "O governo prometeu o fim da crise, mas a inflação subiu", o implícito é que:;O governo foi bem-sucedido.;A promessa do governo foi cumprida.;A promessa não foi cumprida.;A inflação é irrelevante.;A crise acabou.;C
DIREITO CONSTITUCIONAL;Poder Constituinte;Certo/Errado;CESPE;O Poder Constituinte Derivado Decorrente é aquele que permite aos Estados-Membros se auto-organizarem por meio de suas Constituições Estaduais.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Wi-Fi);Múltipla Escolha;VUNESP;O padrão 802.11 refere-se primariamente a qual tecnologia de rede?;Bluetooth.;Ethernet cabeada.;Rede Wi-Fi (Wireless Fidelity).;Fibra óptica.;Rede de telefonia móvel (4G/5G).;C
MATEMÁTICA;Geometria Plana (Círculo);Múltipla Escolha;FGV;Se o diâmetro de um círculo é 10 cm, qual é o valor da circunferência?;$10\pi$ cm;$20\pi$ cm;$5\pi$ cm;$25\pi$ cm;$50\pi$ cm;A
HISTÓRIA;Período Pré-Colonial;Múltipla Escolha;VUNESP;A principal atividade econômica desenvolvida pelos portugueses no Brasil antes da instalação das Capitanias Hereditárias era:;A cana-de-açúcar.;A mineração.;A extração e escambo do pau-brasil.;A criação de gado.;O cultivo de café.;C
GEOGRAFIA;Estrutura Urbana;Múltipla Escolha;ENEM;O processo de desmetropolização é a:;Expansão da mancha urbana para a periferia.;Diminuição da população em cidades globais.;Crescimento de cidades médias em detrimento das metrópoles.;Concentração de indústrias em capitais.;Migração de volta para o campo.;C
PORTUGUÊS;Acentuação Gráfica;Múltipla Escolha;FGV;Assinale a palavra que é acentuada pela mesma regra de "pássaro".;Café;Lâmpada;Júri;Fácil;Pé;B
DIREITO ADMINISTRATIVO;Agentes Públicos;Certo/Errado;CESPE;A investidura em cargo ou emprego público depende de aprovação prévia em concurso público de provas ou de provas e títulos, ressalvadas as nomeações para cargo em comissão declarado em lei de livre nomeação e exoneração.;Certo;Errado;;;;Certo
INFORMÁTICA;Processamento de Texto;Múltipla Escolha;VUNESP;Qual atalho de teclado é universalmente usado para "Copiar" um texto selecionado?;Ctrl + X;Ctrl + V;Ctrl + P;Ctrl + C;Ctrl + Z;D
MATEMÁTICA;Inequações;Múltipla Escolha;ENEM;Qual o conjunto solução da inequação $2x - 4 > 6$?;x > 1;x > 2;x > 5;x < 5;x > 10;C
HISTÓRIA;Segunda Guerra Mundial;Múltipla Escolha;VUNESP;O ataque japonês à base naval de Pearl Harbor, em 1941, provocou a entrada de qual país no conflito?;Itália.;Alemanha.;Estados Unidos.;França.;União Soviética.;C
GEOGRAFIA;Urbanização (Problemas);Múltipla Escolha;FGV;A segregação socioespacial em grandes centros urbanos é o processo de:;Mistura de classes sociais em bairros nobres.;Construção de áreas verdes.;Separação das classes sociais no espaço da cidade.;Melhoria dos transportes públicos.;Diminuição das favelas.;C
PORTUGUÊS;Concordância Nominal;Múltipla Escolha;FGV;A concordância nominal está incorreta em:;Anexo seguem os documentos.;Ela estava meio nervosa.;É proibido entrada.;Muito obrigado, disse ele.;Os documentos estão anexos.;C
DIREITO CONSTITUCIONAL;Remédios Constitucionais (Ação Popular);Certo/Errado;CESPE;Qualquer cidadão é parte legítima para propor Ação Popular que vise a anular ato lesivo ao patrimônio público ou de entidade de que o Estado participe, à moralidade administrativa, ao meio ambiente e ao patrimônio histórico e cultural, ficando o autor isento de custas judiciais e do ônus da sucumbência, salvo comprovada má-fé.;Certo;Errado;;;;Certo
INFORMÁTICA;Banco de Dados (Conceitos);Múltipla Escolha;ENEM;Em um banco de dados relacional, uma "chave primária" é utilizada para:;Conectar duas tabelas diferentes.;Garantir a unicidade de cada registro (linha) em uma tabela.;Controlar as permissões de acesso.;Otimizar as consultas de busca.;Armazenar dados binários.;B
MATEMÁTICA;Escalas;Múltipla Escolha;ENEM;Em um mapa na escala 1:50.000, a distância real, em metros, correspondente a 5 cm no mapa é:;50 m;500 m;2.500 m;5.000 m;25.000 m;C
HISTÓRIA;Revolução Industrial (Consequências 2);Múltipla Escolha;VUNESP;O Ludismo, movimento social do início da Revolução Industrial, foi uma reação dos trabalhadores contra:;A alta de impostos.;A falta de liberdade de expressão.;O uso de máquinas, vistas como causadoras de desemprego.;O absolutismo monárquico.;As greves e sindicatos.;C
GEOGRAFIA;Hidrografia;Múltipla Escolha;VUNESP;O regime de um rio é determinado principalmente pela:;Sua extensão total.;Velocidade da corrente.;Variação do volume de água ao longo do ano.;Profundidade máxima.;Quantidade de peixes.;C
PORTUGUÊS;Pronomes de Tratamento;Múltipla Escolha;FGV;O pronome de tratamento correto para se dirigir a um Presidente da República é:;Vossa Senhoria.;Vossa Excelência.;Vossa Magnificência.;Vossa Santidade.;Vossa Alteza.;B
DIREITO ADMINISTRATIVO;Discricionariedade;Certo/Errado;CESPE;A discricionariedade administrativa permite ao agente público, nos limites da lei, escolher a solução mais conveniente e oportuna para o interesse público.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Certificado Digital);Múltipla Escolha;VUNESP;A principal função de um Certificado Digital SSL em um site é:;Acelerar a velocidade de carregamento da página.;Permitir a comunicação criptografada (HTTPS).;Bloquear ataques de negação de serviço.;Armazenar senhas de usuários.;Garantir a acessibilidade do site.;B
